id,lat,lon,data_hora_gmt,satelite,municipio,estado,pais,municipio_id,estado_id,pais_id,numero_dias_sem_chuva,precipitacao,risco_fogo,bioma,frp
17729938-96cb-32a3-abc8-d685afc6e949,   1.030700, -59.476680,2024-02-23 17:11:00,NPP-375,CAROEBE,RORAIMA,Brasil,1400233,14,33,17,0.0,0.78,Amazônia,80.9
eaf62949-bb24-38c2-a29d-cdf5c3e394e7,   1.021470, -59.794770,2024-02-23 17:11:00,NPP-375,SÃO JOÃO DA BALIZA,RORAIMA,Brasil,1400506,14,33,17,0.0,0.77,Amazônia,24.2
d04d4fc2-267d-3e25-aafd-7337f38d5cee,    .984020, -60.331500,2024-02-23 17:11:00,NPP-375,RORAINÓPOLIS,RORAIMA,Brasil,1400472,14,33,15,0.0,0.89,Amazônia,9.6
15ddd809-3c97-3f24-b0ee-9395e9f01264,    .983370, -60.335770,2024-02-23 17:11:00,NPP-375,RORAINÓPOLIS,RORAIMA,Brasil,1400472,14,33,15,0.0,0.9,Amazônia,9.6
e0ba8b31-8b76-34ae-ada1-a9cb2b3581f0,    .979980, -59.921460,2024-02-23 17:11:00,NPP-375,SÃO JOÃO DA BALIZA,RORAIMA,Brasil,1400506,14,33,17,0.0,0.88,Amazônia,6.4
48df8069-f4aa-3569-be37-7cf1f8ff1a63,    .896760, -59.901810,2024-02-23 17:11:00,NPP-375,SÃO JOÃO DA BALIZA,RORAIMA,Brasil,1400506,14,33,16,0.0,0.73,Amazônia,7.7
9271585a-9bac-3053-977c-3e5d51a94b82,    .935010, -60.505090,2024-02-23 17:11:00,NPP-375,RORAINÓPOLIS,RORAIMA,Brasil,1400472,14,33,17,0.0,0.8,Amazônia,8.4
34a976ca-74b6-3acd-bf66-7bd45380eb34,   1.154680, -59.298080,2024-02-23 17:11:00,NPP-375,CAROEBE,RORAIMA,Brasil,1400233,14,33,16,0.0,0.84,Amazônia,17.7
7b658a83-ac2b-3b76-b21e-5aa20dac4fc5,   1.068420, -59.395150,2024-02-23 17:11:00,NPP-375,CAROEBE,RORAIMA,Brasil,1400233,14,33,17,0.0,0.87,Amazônia,7.0
3aff767e-b742-3bc7-9563-4aa105857c98,   1.056730, -59.401310,2024-02-23 17:11:00,NPP-375,CAROEBE,RORAIMA,Brasil,1400233,14,33,17,0.0,0.83,Amazônia,21.4
